-DOCSTART- -X- -X- O

In IN B-PP O
an DT B-NP O
Economist NNP I-NP B-ORG
Impact NNP I-NP I-ORG
webinar NN I-NP O
supported VBD B-VP O
by IN B-PP O
Deutsche NNP B-NP B-ORG
Bank NNP I-NP I-ORG
, , O O
two CD B-NP O
corporate JJ I-NP O
treasurers NNS I-NP O
shared VBD B-VP O
how WRB B-ADVP O
inflationary JJ B-NP O
pressures NNS I-NP O
are VBP B-VP O
affecting VBG I-VP O
their PRP$ B-NP O
investment NN I-NP O
strategies NNS I-NP O
and CC O O
why WRB B-ADVP O
the DT B-NP O
Covid-19 NNP I-NP B-MISC
pandemic NN I-NP I-MISC
is VBZ B-VP O
still RB I-ADVP O
shaping VBG I-VP O
cash NN B-NP O
policies NNS I-NP O
. . O O

